passage_id,author,source_group,text
P001,Hamilton,S16,"Reasons have been already given to induce a supposition that the State governments will too naturally be prone to a rivalship with that of the Union, the foundation of which will be the love of power; and that in any contest between the federal head and one of its members the people will be most apt to unite with their local government. If, in addition to this immense advantage, the ambition of the members should be stimulated by the separate and independent possession of military forces, it would afford too strong a temptation and too great a facility to them to make enterprises upon, and finally to subvert, the constitutional authority of the Union. On the other hand, the liberty of the people would be less safe in this state of things than in that which left the national forces in the hands of the national government. As far as an army may be considered as a dangerous weapon of power, it had better be in those hands of which the people are most likely to be jealous than in those of which they are least likely to be jealous."
P002,Madison,S12,"All objections and scruples are here also obviated, by requiring the concurrence of the States concerned, in every such establishment. To declare the punishment of treason, but no attainder of treason shall work corruption of blood, or forfeiture, except during the life of the person attained. As treason may be committed against the United States, the authority of the United States ought to be enabled to punish it. But as new-fangled and artificial treasons have been the great engines by which violent factions, the natural offspring of free government, have usually wreaked their alternate malignity on each other, the convention have, with great judgment, opposed a barrier to this peculiar danger, by inserting a constitutional definition of the crime, fixing the proof necessary for conviction of it, and restraining the Congress, even in punishing it, from extending the consequences of guilt beyond the person of its author. Another power is to admit new States into the Union; but no new State shall be formed or erected within the jurisdiction of any other State, nor any State be formed by the junction of two or more States, or parts of States, without the consent of the legislatures of the States concerned, as well as of the Congress."
P003,Hamilton,S09,"The power of regulating the militia, and of commanding its services in times of insurrection and invasion are natural incidents to the duties of superintending the common defense, and of watching over the internal peace of the Confederacy. It requires no skill in the science of war to discern that uniformity in the organization and discipline of the militia would be attended with the most beneficial effects, whenever they were called into service for the public defense. It would enable them to discharge the duties of the camp and of the field with mutual intelligence and concert an advantage of peculiar moment in the operations of an army; and it would fit them much sooner to acquire the degree of proficiency in military functions which would be essential to their usefulness. This desirable uniformity can only be accomplished by confiding the regulation of the militia to the direction of the national authority. It is, therefore, with the most evident propriety, that the plan of the convention proposes to empower the Union to provide for organizing, arming, and disciplining the militia."
P004,Hamilton,S20,"But two considerations will serve to quiet all apprehension on this head: one is, that we are sure the resources of the community, in their full extent, will be brought into activity for the benefit of the Union; the other is, that whatever deficiencies there may be, can without difficulty be supplied by loans. The power of creating new funds upon new objects of taxation, by its own authority, would enable the national government to borrow as far as its necessities might require. Foreigners, as well as the citizens of America, could then reasonably repose confidence in its engagements; but to depend upon a government that must itself depend upon thirteen other governments for the means of fulfilling its contracts, when once its situation is clearly understood, would require a degree of credulity not often to be met with in the pecuniary transactions of mankind, and little reconcilable with the usual sharp-sightedness of avarice."
P005,Madison,S13,"A list of the cases in which Congress have been betrayed, or forced by the defects of the Confederation, into violations of their chartered authorities, would not a little surprise those who have paid no attention to the subject; and would be no inconsiderable argument in favor of the new Constitution, which seems to have provided no less studiously for the lesser, than the more obvious and striking defects of the old. The power to define and punish piracies and felonies committed on the high seas, and offenses against the law of nations, belongs with equal propriety to the general government, and is a still greater improvement on the articles of Confederation. These articles contain no provision for the case of offenses against the law of nations; and consequently leave it in the power of any indiscreet member to embroil the Confederacy with foreign nations. The provision of the federal articles on the subject of piracies and felonies extends no further than to the establishment of courts for the trial of these offenses."
P006,Madison,S19,"The powers falling within the first class are those of declaring war and granting letters of marque; of providing armies and fleets; of regulating and calling forth the militia; of levying and borrowing money. Security against foreign danger is one of the primitive objects of civil society. It is an avowed and essential object of the American Union. The powers requisite for attaining it must be effectually confided to the federal councils. Is the power of declaring war necessary? No man will answer this question in the negative. It would be superfluous, therefore, to enter into a proof of the affirmative. The existing Confederation establishes this power in the most ample form. Is the power of raising armies and equipping fleets necessary? This is involved in the foregoing power. It is involved in the power of self-defense. But was it necessary to give an indefinite power of raising troops, as well as providing fleets; and of maintaining both in peace, as well as in war?"
P007,Madison,S07,"The members of the legislative, executive, and judiciary departments of thirteen and more States, the justices of peace, officers of militia, ministerial officers of justice, with all the county, corporation, and town officers, for three millions and more of people, intermixed, and having particular acquaintance with every class and circle of people, must exceed, beyond all proportion, both in number and influence, those of every description who will be employed in the administration of the federal system. Compare the members of the three great departments of the thirteen States, excluding from the judiciary department the justices of peace, with the members of the corresponding departments of the single government of the Union; compare the militia officers of three millions of people with the military and marine officers of any establishment which is within the compass of probability, or, I may add, of possibility, and in this view alone, we may pronounce the advantage of the States to be decisive. If the federal government is to have collectors of revenue, the State governments will have theirs also."
P008,Hamilton,S11,"The circumstances that endanger the safety of nations are infinite, and for this reason no constitutional shackles can wisely be imposed on the power to which the care of it is committed. This power ought to be coextensive with all the possible combinations of such circumstances; and ought to be under the direction of the same councils which are appointed to preside over the common defense. This is one of those truths which, to a correct and unprejudiced mind, carries its own evidence along with it; and may be obscured, but cannot be made plainer by argument or reasoning. It rests upon axioms as simple as they are universal; the means ought to be proportioned to the end; the persons, from whose agency the attainment of any end is expected, ought to possess the means by which it is to be attained. Whether there ought to be a federal government intrusted with the care of the common defense, is a question in the first instance, open for discussion; but the moment it is decided in the affirmative, it will follow, that that government ought to be clothed with all the powers requisite to complete execution of its trust."
P009,Hamilton,S17,"It has been urged, in different shapes, that a Constitution of the kind proposed by the convention cannot operate without the aid of a military force to execute its laws. This, however, like most other things that have been alleged on that side, rests on mere general assertion, unsupported by any precise or intelligible designation of the reasons upon which it is founded. As far as I have been able to divine the latent meaning of the objectors, it seems to originate in a presupposition that the people will be disinclined to the exercise of federal authority in any matter of an internal nature. Waiving any exception that might be taken to the inaccuracy or inexplicitness of the distinction between internal and external, let us inquire what ground there is to presuppose that disinclination in the people. Unless we presume at the same time that the powers of the general government will be worse administered than those of the State government, there seems to be no room for the presumption of ill-will, disaffection, or opposition in the people."
P010,Madison,S01,"The last paper having concluded the observations which were meant to introduce a candid survey of the plan of government reported by the convention, we now proceed to the execution of that part of our undertaking. The first question that offers itself is, whether the general form and aspect of the government be strictly republican. It is evident that no other form would be reconcilable with the genius of the people of America; with the fundamental principles of the Revolution; or with that honorable determination which animates every votary of freedom, to rest all our political experiments on the capacity of mankind for self-government. If the plan of the convention, therefore, be found to depart from the republican character, its advocates must abandon it as no longer defensible. What, then, are the distinctive characters of the republican form? Were an answer to this question to be sought, not by recurring to principles, but in the application of the term by political writers, to the constitution of different States, no satisfactory one would ever be found."
